2025-09-28 19:37:49 | INFO | Logging to file: logs/project_log.log
2025-09-28 19:37:49 | INFO | Log sanitization enabled, personal info removed
2025-09-28 19:38:29 | INFO | Logging to file: logs/project_log.log
2025-09-28 19:38:29 | INFO | Log sanitization enabled, personal info removed
2025-09-28 19:39:36 | INFO | Logging to file: logs/project_log.log
2025-09-28 19:39:36 | INFO | Log sanitization enabled, personal info removed
2025-09-28 19:39:37 | INFO | Starting Producer to run continuously.
2025-09-28 19:39:37 | INFO | Use Ctrl+C to stop.
2025-09-28 19:39:37 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-28 19:39:37 | INFO | BUZZ_TOPIC: buzzline
2025-09-28 19:39:37 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-28 19:39:37 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-28 19:39:37 | INFO | LIVE_DATA_PATH: PROJECT_ROOT/data/project_live.json
2025-09-28 19:39:37 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-28 19:39:37 | INFO | SQLITE_PATH: PROJECT_ROOT/data/buzz.sqlite
2025-09-28 19:39:37 | INFO | Kafka broker address: localhost:9092
2025-09-28 19:39:37 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'HpVDt2xUThyOIoAj7H8wjg', 'controller_id': 1}
2025-09-28 19:39:39 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-28 19:39:39 | INFO | {'message': 'I just tried Python! It was funny.', 'author': 'Eve', 'timestamp': '2025-09-28 19:39:39', 'category': 'tech', 'sentiment': 0.04, 'keyword_mentioned': 'Python', 'message_length': 34}
2025-09-28 19:39:44 | INFO | {'message': 'I just loved an app! It was exciting.', 'author': 'Charlie', 'timestamp': '2025-09-28 19:39:44', 'category': 'other', 'sentiment': 0.19, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-28 19:39:49 | INFO | {'message': 'I just shared a meme! It was exciting.', 'author': 'Charlie', 'timestamp': '2025-09-28 19:39:49', 'category': 'humor', 'sentiment': 0.2, 'keyword_mentioned': 'meme', 'message_length': 38}
2025-09-28 19:39:54 | INFO | {'message': 'I just tried travel! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-28 19:39:54', 'category': 'travel', 'sentiment': 0.31, 'keyword_mentioned': 'travel', 'message_length': 37}
2025-09-28 19:39:59 | INFO | {'message': 'I just saw a meme! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-28 19:39:59', 'category': 'humor', 'sentiment': 0.45, 'keyword_mentioned': 'meme', 'message_length': 33}
2025-09-28 19:40:04 | INFO | {'message': 'I just shared JavaScript! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-28 19:40:04', 'category': 'tech', 'sentiment': 0.35, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-28 19:40:09 | INFO | {'message': 'I just loved JavaScript! It was weird.', 'author': 'Alice', 'timestamp': '2025-09-28 19:40:09', 'category': 'tech', 'sentiment': 0.63, 'keyword_mentioned': 'JavaScript', 'message_length': 38}
2025-09-28 19:40:14 | INFO | {'message': 'I just shared Python! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-28 19:40:14', 'category': 'tech', 'sentiment': 0.04, 'keyword_mentioned': 'Python', 'message_length': 37}
2025-09-28 19:40:19 | INFO | {'message': 'I just tried an app! It was weird.', 'author': 'Alice', 'timestamp': '2025-09-28 19:40:19', 'category': 'other', 'sentiment': 1.0, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-28 19:40:24 | INFO | {'message': 'I just found an app! It was boring.', 'author': 'Charlie', 'timestamp': '2025-09-28 19:40:24', 'category': 'other', 'sentiment': 0.3, 'keyword_mentioned': 'other', 'message_length': 35}
2025-09-28 19:40:29 | INFO | {'message': 'I just loved a meme! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-28 19:40:29', 'category': 'humor', 'sentiment': 0.93, 'keyword_mentioned': 'meme', 'message_length': 37}
2025-09-28 19:40:34 | INFO | {'message': 'I just saw JavaScript! It was boring.', 'author': 'Bob', 'timestamp': '2025-09-28 19:40:34', 'category': 'tech', 'sentiment': 0.73, 'keyword_mentioned': 'JavaScript', 'message_length': 37}
2025-09-28 19:40:39 | INFO | {'message': 'I just tried a movie! It was funny.', 'author': 'Charlie', 'timestamp': '2025-09-28 19:40:39', 'category': 'entertainment', 'sentiment': 0.54, 'keyword_mentioned': 'movie', 'message_length': 35}
2025-09-28 19:40:44 | INFO | {'message': 'I just saw a movie! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-28 19:40:44', 'category': 'entertainment', 'sentiment': 0.23, 'keyword_mentioned': 'movie', 'message_length': 34}
2025-09-28 19:40:49 | INFO | {'message': 'I just saw a trick! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-28 19:40:49', 'category': 'other', 'sentiment': 0.47, 'keyword_mentioned': 'other', 'message_length': 33}
2025-09-28 19:40:54 | INFO | {'message': 'I just saw Python! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-28 19:40:54', 'category': 'tech', 'sentiment': 0.25, 'keyword_mentioned': 'Python', 'message_length': 35}
2025-09-28 19:40:59 | INFO | {'message': 'I just saw travel! It was weird.', 'author': 'Bob', 'timestamp': '2025-09-28 19:40:59', 'category': 'travel', 'sentiment': 0.45, 'keyword_mentioned': 'travel', 'message_length': 32}
2025-09-28 19:41:04 | INFO | {'message': 'I just saw a meme! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-28 19:41:04', 'category': 'humor', 'sentiment': 0.16, 'keyword_mentioned': 'meme', 'message_length': 32}
2025-09-28 19:41:09 | INFO | {'message': 'I just loved JavaScript! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-28 19:41:09', 'category': 'tech', 'sentiment': 0.68, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-28 19:41:14 | INFO | {'message': 'I just loved a story! It was amazing.', 'author': 'Bob', 'timestamp': '2025-09-28 19:41:14', 'category': 'other', 'sentiment': 0.74, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-28 19:41:19 | INFO | {'message': 'I just shared recipe! It was boring.', 'author': 'Charlie', 'timestamp': '2025-09-28 19:41:19', 'category': 'food', 'sentiment': 0.82, 'keyword_mentioned': 'recipe', 'message_length': 36}
2025-09-28 19:41:21 | INFO | Logging to file: logs/project_log.log
2025-09-28 19:41:21 | INFO | Log sanitization enabled, personal info removed
2025-09-28 19:41:21 | INFO | Starting Consumer to run continuously.
2025-09-28 19:41:21 | INFO | Things can fail or get interrupted, so use a try block.
2025-09-28 19:41:21 | INFO | Moved .env variables into a utils config module.
2025-09-28 19:41:21 | INFO | STEP 1. Read environment variables using new config functions.
